#{"t_start": 1700515148.7285533, "env_id": "CarRacing-v2"}
r,l,t
-58.477509,1000,293.993011
-54.225352,1000,306.690433
-47.712418,1000,320.562023
-36.090226,1000,332.768777
-32.659933,1000,346.511378
-41.979522,1000,358.991384
-32.142857,1000,372.387981
-28.571429,1000,384.574813
-31.972789,1000,398.019827
-33.121019,1000,410.116542
-41.538462,1000,424.001445
-39.209726,1000,436.607463
-50.617284,1000,450.855198
-26.070039,1000,463.086556
-71.119134,1000,476.131562
-69.811321,1000,488.162976
-67.213115,1000,501.244489
-67.391304,1000,513.479964
-62.025316,1000,526.407514
-47.540984,1000,538.201187
-52.861953,1000,551.328932
-35.384615,1000,563.656409
-35.810811,1000,576.665439
-8.424908,1000,588.825754
-26.174497,1000,601.919651
11.553785,1000,613.761301
-26.517572,1000,626.866925
-28.315412,1000,638.126101
-29.577465,1000,651.261507
-32.20339,1000,662.895101
-33.774834,1000,676.461409
22.033898,1000,688.420588
-28.125,1000,701.595198
35.483871,1000,712.705319
87.5,1000,726.424594
452.050473,1000,737.845492
-13.357401,1000,751.672608
422.875817,1000,763.166209
56.716418,1000,777.231516
400.0,1000,788.17184
348.051948,1000,802.271721
697.153025,1000,813.620645
318.250951,1000,825.661202
852.554745,1000,838.704029
418.394649,1000,850.848481
488.815789,1000,863.838447
284.858044,1000,876.270751
685.234899,1000,889.518054
307.407407,1000,901.473708
889.399293,1000,914.924706
47.454054,317,918.827084
36.214876,581,925.539085
-11.246853,582,933.701313
915.9,841,943.643806
641.324921,1000,957.913156
387.455197,1000,968.759758
351.219512,1000,983.162762
893.127148,1000,994.568424
271.426426,551,1001.243525
221.070234,1000,1014.605051
249.442379,1000,1026.281654
921.7,783,1037.088987
182.958199,1000,1048.593537
404.792332,1000,1062.22707
515.658363,1000,1073.808619
69.934641,1000,1087.2432
921.9,781,1095.805144
266.77116,1000,1108.385465
892.337165,1000,1121.239242
874.729242,1000,1133.469968
603.832753,1000,1146.543528
266.037736,1000,1158.509744
838.405797,1000,1171.935477
916.5,835,1181.708576
877.272727,1000,1194.814832
479.661017,1000,1206.802543
889.361702,1000,1220.032199
808.088235,1000,1232.150341
798.496241,1000,1245.094491
530.434783,1000,1257.282016
475.645756,1000,1270.313211
569.934641,1000,1282.587866
11.083562,534,1288.871521
177.443038,581,1297.022053
-34.411782,614,1304.210668
532.653061,1000,1317.857844
487.412587,1000,1329.338928
853.23741,1000,1343.365148
741.549296,1000,1354.366597
344.444444,1000,1366.091134
471.428571,1000,1379.310569
575.958188,1000,1391.715609
427.675277,1000,1405.077081
398.084291,1000,1417.112107
22.033898,1000,1430.02283
475.091575,1000,1442.618741
922.7,773,1453.064589
909.3,907,1464.254232
470.967742,1000,1477.904636
384.848485,1000,1490.525976
784.057971,1000,1504.507627
882.817869,1000,1516.454012
896.309963,1000,1530.107298
591.558442,1000,1541.909409
874.276527,1000,1555.515023
863.50365,1000,1567.314783
3.087352,314,1570.853816
521.527778,1000,1583.636636
840.766551,1000,1595.984972
396.969697,1000,1609.54467
826.829268,1000,1621.617273
856.953642,1000,1636.028602
